error1,error2,error3,error4
0.028409071,0.001243999,0.013153479,0.013153479
0.012222961,0.003008284,0.001270301,0.001270301
0.017019551,0.004262741,0.004612237,0.004612237
0.027788304,0.012520019,0.012220629,0.012220629
0.025679519,0.004840559,0.011313719,0.011313719
0.031323903,0.004067858,0.014743538,0.014743538
0.026582755,0.010805941,0.015695351,0.015695351
0.021381091,0.007517761,0.012980201,0.012980201
0.027387401,0.008714491,0.015991661,0.015991661
0.026795827,0.006793151,0.005429007,0.005429007
0.018994831,0.002400149,0.001639299,0.001639299
0.035837701,0.010386869,0.005042955,0.005042955
0.021479469,0.004443241,0.013641689,0.013641689
0.023156829,0.004541614,0.003533899,0.003533899
0.026348856,0.008707256,0.012727896,0.012727896
0.025323291,0.021330036,0.016290051,0.016290051
0.027534985,0.015628181,0.023250745,0.023250745
0.023984756,0.009837996,0.020762101,0.020762101
0.026764756,0.014586116,0.010704696,0.010704696
0.028434446,0.010046446,7.60409E-05,7.60409E-05
0.034637988,0.000880152,0.010489162,0.010489162
0.027542292,0.004053968,0.017780772,0.017780772
0.033195112,0.005010486,0.011220912,0.011220912
0.053197861,0.046561501,0.013947889,0.013947889
0.042895428,0.044011388,0.022011786,0.022011786
0.040740078,0.009329312,0.007732428,0.007732428
0.024764624,0.002967192,0.008663388,0.008663388
0.011210635,0.001712271,0.002430371,0.002430371
0.02224388,0.005901686,0.001394694,0.001394694
0.032744961,0.011014391,0.013567553,0.013567553
0.029800355,0.021907929,0.013635255,0.013635255
0.024652006,0.013136722,0.007471994,0.007471994
0.02542121,0.00713763,0.0019623,0.0019623
0.016009919,0.005243636,0.00713937,0.00713937
0.018377864,0.005732806,0.007157874,0.007157874
0.038532767,0.000110173,0.010786067,0.010786067
0.020609072,0.004935503,0.007049962,0.007049962
0.041565393,0.007725649,0.005200439,0.005200439
0.021916663,0.012327593,0.008536373,0.008536373
0.021035591,0.002965786,0.001105495,0.001105495
0.011589917,5.47534E-05,0.005998367,0.005998367
0.002730185,0.012804055,0.005427805,0.005427805
0.001927034,0.007558276,0.004142884,0.004142884
0.006524391,0.008712944,0.005186379,0.005186379
0.012180098,0.007704697,6.70677E-05,6.70677E-05
0.007118705,0.016505755,0.007177395,0.007177395
0.00571315,0.017686449,0.006219336,0.006219336
0.02087862,0.022212126,0.011930164,0.011930164
0.028454694,0.020305006,0.011741459,0.011741459
0.01368957,0.014137671,0.012244534,0.012244534
0.010458314,0.021044294,0.019876034,0.019876034
0.042455864,0.017888064,0.000964346,0.000964346
0.045169886,0.010527796,0.006193694,0.006193694
0.032134278,0.011607804,0.003663022,0.003663022
0.044728736,0.022586846,0.006992056,0.006992056
0.024331546,0.013867086,0.008167736,0.008167736
0.023423458,0.013492188,0.002797758,0.002797758
0.013082185,0.007309355,0.002876955,0.002876955
